['0', '3', '5', '22', '195']
['1', '8', '55', '340', '477']
['2', '10', '13', '114', '54']
['4', '41', '136', '11', '210']
['6', '19', '40', '73', '115']
['7', '9', '28', '100', '67']
['12', '33', '81', '398', '189']
['14', '31', '58', '190', '32']
['15', '18', '44', '27', '103']
['16', '50', '93', '64', '120']
['17', '25', '109', '412', '233']
['20', '21', '79', '382', '336']
['23', '30', '184', '280', '110']
['24', '36', '42', '57', '191']
['26', '37', '122', '211', '269']
['29', '63', '156', '47', '188']
['34', '53', '62', '134', '52']
['35', '56', '200', '496', '83']
['38', '49', '194', '262', '311']
['39', '46', '144', '423', '123']
['43', '59', '92', '95', '254']
['45', '48', '176', '102', '327']
['51', '74', '90', '260', '106']
['60', '65', '154', '220', '255']
['61', '72', '76', '207', '152']
['66', '71', '77', '157', '162']
['68', '91', '186', '383', '242']
['69', '84', '108', '320', '293']
['70', '80', '86', '205', '97']
['75', '85', '150', '126', '180']
['78', '94', '111', '337', '182']
['82', '101', '104', '443', '117']
['87', '88', '223', '268', '493']
['89', '129', '244', '175', '234']
['96', '105', '155', '160', '203']
['98', '159', '167', '354', '226']
['99', '112', '168', '389', '243']
['107', '116', '183', '420', '266']
['113', '118', '138', '431', '444']
['119', '121', '163', '338', '241']
['124', '131', '153', '456', '181']
['125', '130', '365', '427', '206']
['127', '133', '172', '476', '357']
['128', '140', '196', '231', '212']
['132', '148', '258', '274', '299']
['135', '143', '245', '177', '248']
['137', '169', '192', '355', '193']
['139', '142', '149', '278', '324']
['141', '145', '261', '197', '482']
['146', '165', '199', '166', '312']
['147', '151', '218', '298', '323']
['158', '171', '292', '246', '339']
['161', '178', '256', '202', '251']
['164', '173', '204', '185', '198']
['170', '221', '250', '334', '350']
['174', '215', '349', '224', '454']
['179', '209', '306', '342', '217']
['187', '214', '253', '271', '358']
['201', '227', '374', '440', '450']
['208', '240', '356', '270', '213']
['216', '229', '301', '345', '353']
['219', '230', '284', '328', '406']
['222', '228', '315', '360', '249']
['225', '235', '276', '392', '265']
['232', '264', '335', '287', '483']
['236', '259', '347', '361', '377']
['237', '263', '310', '463', '478']
['238', '277', '290', '330', '395']
['239', '272', '307', '295', '302']
['247', '285', '465', '381', '470']
['252', '283', '314', '422', '489']
['257', '267', '372', '373', '390']
['273', '304', '375', '380', '400']
['275', '305', '462', '309', '352']
['279', '288', '322', '318', '296']
['281', '313', '371', '458', '474']
['282', '316', '404', '445', '497']
['286', '359', '385', '386', '419']
['289', '291', '403', '468', '464']
['294', '329', '369', '449', '432']
['297', '344', '393', '321', '367']
['300', '351', '429', '368', '416']
['303', '346', '366', '396', '376']
['308', '394', '410', '469', '498']
['317', '326', '435', '387', '408']
['319', '331', '486', '417', '402']
['325', '379', '437', '446', '488']
['332', '363', '391', '399', '401']
['333', '415', '438', '370', '475']
['341', '384', '490', '428', '452']
['343', '348', '407', '453', '421']
['362', '378', '364', '472', '388']
['397', '405', '442', '418', '451']
['409', '433', '424', '487', '457']
['411', '434', '436', '448', '430']
['413', '425', '491', '426', '447']
['414', '439', '471', '467']
['441', '480', '459', '461']
['455', '466', '494', '473']
['460', '485', '495', '481']
['479', '499', '484', '492']
